A_x,A_y,B_x,B_y,A_native_x,A_native_y,B_native_x,B_native_y,A_lon,A_lat,B_lon,B_lat,geo_distance_deg
0.0,540.0,40.0,0.0,0,5400,400,0,56.5839972,-61.6601651,56.5846716,-61.6603723,0.0007055120126553049
10.0,540.0,50.0,0.0,100,5400,500,0,56.5858652,-61.6601177,56.5865782,-61.6603484,0.0007493940819052301
20.0,540.0,60.0,0.0,200,5400,600,0,56.5877333,-61.6600704,56.5884851,-61.6603246,0.0007936125503072861
30.0,540.0,70.0,0.0,300,5400,700,0,56.5896014,-61.660023,56.5903922,-61.6603007,0.0008381419509811542
40.0,540.0,80.0,0.0,400,5400,800,0,56.5914696,-61.6599755,56.5922995,-61.6602768,0.0008829018631745017
50.0,540.0,90.0,0.0,500,5400,900,0,56.5933378,-61.6599281,56.594207,-61.6602529,0.0009279028397387856
60.0,540.0,100.0,0.0,600,5400,1000,0,56.5952062,-61.6598806,56.5961148,-61.6602289,0.0009730708350391098
90.0,540.0,120.0,0.0,900,5400,1200,0,56.6008116,-61.6597379,56.5999311,-61.6601809,0.0009856618334901123
100.0,540.0,130.0,0.0,1000,5400,1300,0,56.6026802,-61.6596903,56.6018395,-61.6601568,0.0009614565720871956
110.0,540.0,140.0,0.0,1100,5400,1400,0,56.6045489,-61.6596426,56.6037482,-61.6601328,0.0009388378614011343
120.0,540.0,150.0,0.0,1200,5400,1500,0,56.6064176,-61.6595949,56.6056572,-61.6601087,0.0009177137898037751
0.0,550.0,40.0,10.0,0,5500,400,100,56.5840645,-61.6610873,56.5847639,-61.6612566,0.0007195990897742189
10.0,550.0,50.0,10.0,100,5500,500,100,56.5859325,-61.66104,56.5866706,-61.6612327,0.0007628400225467294
20.0,550.0,60.0,10.0,200,5500,600,100,56.5878006,-61.6609926,56.5885775,-61.6612089,0.00080644857244365
30.0,550.0,70.0,10.0,300,5500,700,100,56.5896688,-61.6609452,56.5904846,-61.661185,0.0008503138714673093
40.0,550.0,80.0,10.0,400,5500,800,100,56.5915371,-61.6608977,56.592392,-61.6611611,0.0008945577510709629
50.0,550.0,90.0,10.0,500,5500,900,100,56.5934054,-61.6608503,56.5942996,-61.6611372,0.0009390981045637172
60.0,550.0,100.0,10.0,600,5500,1000,100,56.5952738,-61.6608028,56.5962074,-61.6611132,0.0009838481183572722
80.0,550.0,110.0,10.0,800,5500,1100,100,56.5990107,-61.6607077,56.5981155,-61.6610892,0.0009731008632207276
90.0,550.0,120.0,10.0,900,5500,1200,100,56.6008793,-61.6606601,56.6000238,-61.6610652,0.0009465655075068406
100.0,550.0,130.0,10.0,1000,5500,1300,100,56.602748,-61.6606125,56.6019323,-61.6610411,0.0009214469328150793
110.0,550.0,140.0,10.0,1100,5500,1400,100,56.6046167,-61.6605648,56.603841,-61.6610171,0.0008979341735320854
120.0,550.0,150.0,10.0,1200,5500,1500,100,56.6064855,-61.6605172,56.60575,-61.660993,0.0008759828137545067
130.0,550.0,160.0,10.0,1300,5500,1600,100,56.6083544,-61.6604694,56.6076592,-61.6609688,0.0008559809577357388
140.0,550.0,170.0,0.0,1400,5500,1700,0,56.6102233,-61.6604217,56.6094757,-61.6600604,0.0008303273149831004
150.0,550.0,180.0,0.0,1500,5500,1800,0,56.6120923,-61.6603739,56.6113853,-61.6600362,0.0007835115123594344
160.0,550.0,190.0,0.0,1600,5500,1900,0,56.6139614,-61.6603261,56.6132952,-61.660012,0.0007365332646901643
170.0,550.0,200.0,0.0,1700,5500,2000,0,56.6158306,-61.6602783,56.6152053,-61.6599878,0.0006894855618522798
180.0,550.0,210.0,0.0,1800,5500,2100,0,56.6176998,-61.6602304,56.6171156,-61.6599635,0.000642281285729503
190.0,550.0,220.0,0.0,1900,5500,2200,0,56.6195691,-61.6601825,56.6190262,-61.6599392,0.0005949246170731921
200.0,550.0,230.0,0.0,2000,5500,2300,0,56.6214384,-61.6601346,56.620937,-61.6599149,0.000547421272883685
210.0,550.0,240.0,0.0,2100,5500,2400,0,56.6233078,-61.6600866,56.622848,-61.6598906,0.0004998320117823883
220.0,550.0,250.0,0.0,2200,5500,2500,0,56.6251773,-61.6600386,56.6247592,-61.6598662,0.00045224923437936515
230.0,550.0,260.0,0.0,2300,5500,2600,0,56.6270469,-61.6599906,56.6266707,-61.6598418,0.0004045588708745642
240.0,550.0,270.0,0.0,2400,5500,2700,0,56.6289165,-61.6599425,56.6285824,-61.6598174,0.0003567531639689481
250.0,550.0,280.0,0.0,2500,5500,2800,0,56.6307862,-61.6598945,56.6304944,-61.6597929,0.00030898187649082464
260.0,550.0,290.0,0.0,2600,5500,2900,0,56.632656,-61.6598463,56.6324065,-61.6597684,0.000261378384718042
270.0,550.0,300.0,0.0,2700,5500,3000,0,56.6345258,-61.6597982,56.6343189,-61.6597439,0.000213906755387237
280.0,550.0,310.0,0.0,2800,5500,3100,0,56.6363957,-61.65975,56.6362316,-61.6597194,0.00016692863744692592
290.0,550.0,320.0,0.0,2900,5500,3200,0,56.6382657,-61.6597018,56.6381444,-61.6596948,0.0001215018106827503
300.0,550.0,330.0,0.0,3000,5500,3300,0,56.6401358,-61.6596536,56.6400576,-61.6596702,7.994247932577989e-05
310.0,550.0,340.0,0.0,3100,5500,3400,0,56.6420059,-61.6596053,56.6419709,-61.6596456,5.337686764758778e-05
320.0,550.0,350.0,0.0,3200,5500,3500,0,56.6438761,-61.659557,56.6438845,-61.6596209,6.444974786656496e-05
330.0,550.0,360.0,0.0,3300,5500,3600,0,56.6457463,-61.6595087,56.6457983,-61.6595963,0.00010187129133977234
340.0,550.0,370.0,0.0,3400,5500,3700,0,56.6476166,-61.6594603,56.6477123,-61.6595716,0.00014678617101287022
350.0,550.0,380.0,0.0,3500,5500,3800,0,56.649487,-61.6594119,56.6496266,-61.6595468,0.00019412926105804492
360.0,550.0,390.0,0.0,3600,5500,3900,0,56.6513575,-61.6593635,56.6515411,-61.6595221,0.00024261681722327264
370.0,550.0,400.0,0.0,3700,5500,4000,0,56.653228,-61.659315,56.6534558,-61.6594973,0.00029176382572496513
380.0,550.0,410.0,0.0,3800,5500,4100,0,56.6550986,-61.6592665,56.6553708,-61.6594725,0.00034136320832535937
390.0,550.0,420.0,0.0,3900,5500,4200,0,56.6569693,-61.659218,56.6572859,-61.6594476,0.00039109042432334466
400.0,550.0,430.0,0.0,4000,5500,4300,0,56.65884,-61.6591695,56.6592014,-61.6594228,0.0004413285057687955
410.0,550.0,440.0,0.0,4100,5500,4400,0,56.6607109,-61.6591209,56.661117,-61.6593979,0.0004915752333078736
420.0,550.0,450.0,0.0,4200,5500,4500,0,56.6625817,-61.6590723,56.6630329,-61.6593729,0.0005421639973312009
430.0,550.0,460.0,0.0,4300,5500,4600,0,56.6644527,-61.6590236,56.6649491,-61.659348,0.0005929994266484407
440.0,550.0,470.0,0.0,4400,5500,4700,0,56.6663237,-61.658975,56.6668654,-61.659323,0.0006438500524198825
450.0,550.0,480.0,0.0,4500,5500,4800,0,56.6681948,-61.6589262,56.668782,-61.659298,0.0006950101294191516
460.0,550.0,490.0,0.0,4600,5500,4900,0,56.670066,-61.6588775,56.6706989,-61.6592729,0.0007462597202015542
0.0,560.0,40.0,20.0,0,5600,400,200,56.5841326,-61.6620093,56.5848562,-61.6621409,0.0007354695914854816
10.0,560.0,50.0,20.0,100,5600,500,200,56.5860007,-61.661962,56.5867629,-61.662117,0.000777800642835402
20.0,560.0,60.0,20.0,200,5600,600,200,56.5878689,-61.6619146,56.5886699,-61.6620932,0.0008206698239875081
30.0,560.0,70.0,20.0,300,5600,700,200,56.5897371,-61.6618672,56.5905771,-61.6620693,0.0008639701441557842
40.0,560.0,80.0,20.0,400,5600,800,200,56.5916054,-61.6618198,56.5924845,-61.6620454,0.000907585902267552
50.0,560.0,90.0,20.0,500,5600,900,200,56.5934738,-61.6617723,56.5943921,-61.6620215,0.0009515122332389752
70.0,560.0,100.0,20.0,700,5600,1000,200,56.5972107,-61.6616773,56.5963,-61.6619975,0.0009653509879809191
80.0,560.0,110.0,20.0,800,5600,1100,200,56.5990793,-61.6616297,56.5982081,-61.6619735,0.0009365830876116322
90.0,560.0,120.0,20.0,900,5600,1200,200,56.6009479,-61.6615821,56.6001165,-61.6619495,0.0009089602411578911
100.0,560.0,130.0,20.0,1000,5600,1300,200,56.6028167,-61.6615345,56.6020251,-61.6619254,0.000882855237283318
110.0,560.0,140.0,20.0,1100,5600,1400,200,56.6046854,-61.6614868,56.6039339,-61.6619014,0.0008582804961077639
120.0,560.0,150.0,20.0,1200,5600,1500,200,56.6065543,-61.6614392,56.6058429,-61.6618773,0.0008354768518657494
130.0,560.0,160.0,20.0,1300,5600,1600,200,56.6084232,-61.6613914,56.6077522,-61.6618531,0.0008144985512560538
140.0,560.0,170.0,20.0,1400,5600,1700,200,56.6102922,-61.6613437,56.6096617,-61.661829,0.0007956420929053809
160.0,560.0,190.0,10.0,1600,5600,1900,100,56.6140304,-61.6612481,56.6133883,-61.6608963,0.0007321582137785372
170.0,560.0,200.0,10.0,1700,5600,2000,100,56.6158996,-61.6612003,56.6152984,-61.6608721,0.0006849501295693529
180.0,560.0,210.0,10.0,1800,5600,2100,100,56.6177689,-61.6611524,56.6172088,-61.6608478,0.0006375681689053308
190.0,560.0,220.0,10.0,1900,5600,2200,100,56.6196382,-61.6611045,56.6191194,-61.6608235,0.0005900122371570981
200.0,560.0,230.0,10.0,2000,5600,2300,100,56.6215076,-61.6610566,56.6210302,-61.6607992,0.0005423702794239074
210.0,560.0,240.0,10.0,2100,5600,2400,100,56.6233771,-61.6610086,56.6229413,-61.6607748,0.0004945544257209531
220.0,560.0,250.0,10.0,2200,5600,2500,100,56.6252466,-61.6609606,56.6248526,-61.6607505,0.0004465176480293173
230.0,560.0,260.0,10.0,2300,5600,2600,100,56.6271162,-61.6609126,56.6267641,-61.6607261,0.0003984427938893909
240.0,560.0,270.0,10.0,2400,5600,2700,100,56.6289859,-61.6608646,56.6286759,-61.6607016,0.0003502413453628935
250.0,560.0,280.0,10.0,2500,5600,2800,100,56.6308557,-61.6608165,56.6305879,-61.6606772,0.00030186309810588705
260.0,560.0,290.0,10.0,2600,5600,2900,100,56.6327255,-61.6607684,56.6325001,-61.6606527,0.0002533607112390209
270.0,560.0,300.0,10.0,2700,5600,3000,100,56.6345954,-61.6607202,56.6344126,-61.6606282,0.00020464564496241623
280.0,560.0,310.0,10.0,2800,5600,3100,100,56.6364654,-61.660672,56.6363253,-61.6606036,0.00015590564453653384
290.0,560.0,320.0,10.0,2900,5600,3200,100,56.6383354,-61.6606238,56.6382382,-61.6605791,0.00010698565324443205
300.0,560.0,330.0,10.0,3000,5600,3300,100,56.6402055,-61.6605756,56.6401514,-61.6605545,5.8069096771802366e-05
310.0,560.0,340.0,10.0,3100,5600,3400,100,56.6420757,-61.6605273,56.6420648,-61.6605299,1.1205802068521643e-05
320.0,560.0,350.0,10.0,3200,5600,3500,100,56.6439459,-61.660479,56.6439784,-61.6605052,4.174553868669494e-05
330.0,560.0,360.0,10.0,3300,5600,3600,100,56.6458162,-61.6604307,56.6458922,-61.6604805,9.08627536448638e-05
340.0,560.0,370.0,10.0,3400,5600,3700,100,56.6476866,-61.6603823,56.6478063,-61.6604558,0.00014046472866756398
350.0,560.0,380.0,10.0,3500,5600,3800,100,56.649557,-61.6603339,56.6497206,-61.6604311,0.00019029661058455146
360.0,560.0,390.0,10.0,3600,5600,3900,100,56.6514276,-61.6602855,56.6516352,-61.6604063,0.00024018825949809569
370.0,560.0,400.0,10.0,3700,5600,4000,100,56.6532981,-61.660237,56.65355,-61.6603816,0.000290452698387668
380.0,560.0,410.0,10.0,3800,5600,4100,100,56.6551688,-61.6601885,56.655465,-61.6603567,0.0003406254247735394
390.0,560.0,420.0,10.0,3900,5600,4200,100,56.6570395,-61.66014,56.6573802,-61.6603319,0.0003910269811643102
400.0,560.0,430.0,10.0,4000,5600,4300,100,56.6589103,-61.6600915,56.6592957,-61.660307,0.00044155793504422686
410.0,560.0,440.0,10.0,4100,5600,4400,100,56.6607812,-61.6600429,56.6612114,-61.6602821,0.0004922282803725863
420.0,560.0,450.0,10.0,4200,5600,4500,100,56.6626521,-61.6599943,56.6631274,-61.6602572,0.0005431634192356462
430.0,560.0,460.0,10.0,4300,5600,4600,100,56.6645231,-61.6599456,56.6650436,-61.6602322,0.0005941883623918104
440.0,560.0,470.0,10.0,4400,5600,4700,100,56.6663942,-61.659897,56.66696,-61.6602073,0.0006453028203920797
450.0,560.0,480.0,10.0,4500,5600,4800,100,56.6682653,-61.6598482,56.6688766,-61.6601822,0.0006965943511084514
460.0,560.0,490.0,10.0,4600,5600,4900,100,56.6701366,-61.6597995,56.6707935,-61.6601572,0.0007479752001270598
470.0,560.0,500.0,0.0,4700,5600,5000,0,56.6720078,-61.6597507,56.6726159,-61.6592479,0.0007890459112067041
480.0,560.0,510.0,0.0,4800,5600,5100,0,56.6738792,-61.6597019,56.6745332,-61.6592228,0.000810711298796415
490.0,560.0,520.0,0.0,4900,5600,5200,0,56.6757506,-61.6596531,56.6764507,-61.6591977,0.0008351821178606924
500.0,560.0,530.0,0.0,5000,5600,5300,0,56.6776221,-61.6596042,56.6783685,-61.6591725,0.0008622516164064924
510.0,560.0,540.0,0.0,5100,5600,5400,0,56.6794937,-61.6595554,56.6802865,-61.6591473,0.0008916711557519024
520.0,560.0,550.0,0.0,5200,5600,5500,0,56.6813653,-61.6595064,56.6822047,-61.6591221,0.0009231894984209603
530.0,560.0,560.0,0.0,5300,5600,5600,0,56.683237,-61.6594575,56.6841232,-61.6590969,0.0009567563953309922
550.0,560.0,570.0,0.0,5500,5600,5700,0,56.6869806,-61.6593595,56.6860419,-61.6590717,0.0009818281570618272
560.0,560.0,580.0,0.0,5600,5600,5800,0,56.6888525,-61.6593104,56.6879608,-61.6590464,0.0009299596174069851
570.0,560.0,590.0,0.0,5700,5600,5900,0,56.6907245,-61.6592613,56.68988,-61.6590211,0.000877995609328018
580.0,560.0,600.0,0.0,5800,5600,6000,0,56.6925966,-61.6592122,56.6917994,-61.6589957,0.0008260751115980443
590.0,560.0,610.0,0.0,5900,5600,6100,0,56.6944687,-61.6591631,56.693719,-61.6589703,0.0007740942642859248
600.0,560.0,620.0,0.0,6000,5600,6200,0,56.6963409,-61.6591139,56.6956389,-61.6589449,0.0007220560920077213
610.0,560.0,630.0,0.0,6100,5600,6300,0,56.6982132,-61.6590647,56.697559,-61.6589195,0.0006701198997187621
620.0,560.0,640.0,0.0,6200,5600,6400,0,56.7000855,-61.6590155,56.6994793,-61.6588941,0.0006182365243182787
630.0,560.0,650.0,0.0,6300,5600,6500,0,56.7019579,-61.6589662,56.7013999,-61.6588686,0.0005664713231917006
640.0,560.0,660.0,0.0,6400,5600,6600,0,56.7038304,-61.6589169,56.7033207,-61.6588431,0.0005150150774516129
