Seed,Method,Candidate Matches,Estimation Points,Check Points,Fit RMSE,Check RMSE,Check Mean Error,Check Median Error,Check Max Error,Final Inlier Count,Final Inlier Ratio,Spatial Occupancy,Spatial CV,Runtime
1,SIFT,18530,40,14,0.095,0.8928,0.7883,0.7672,1.5053,40,1.0,0.7778,0.8944,87.53
1,LoFTR + RANSAC,5979,40,14,1.1996,0.9904,0.9136,0.9779,1.5646,39,0.975,1.0,0.728,48.44
2,SIFT,18530,40,14,0.1694,0.8557,0.7555,0.8767,1.4538,40,1.0,0.7778,0.7874,87.53
2,LoFTR + RANSAC,5979,40,14,1.0179,0.9399,0.8593,0.831,1.61,40,1.0,1.0,0.6548,48.44
3,SIFT,18530,40,14,0.149,0.9132,0.8127,0.8712,1.3702,40,1.0,0.7778,0.8223,87.53
3,LoFTR + RANSAC,5979,40,14,0.9959,0.8386,0.7498,0.7545,1.3895,40,1.0,0.7778,0.728,48.44
4,SIFT,18530,40,14,0.1026,0.8136,0.718,0.6082,1.4925,40,1.0,0.7778,0.7657,87.53
4,LoFTR + RANSAC,5979,40,14,1.0793,0.9492,0.8768,0.867,1.413,40,1.0,0.7778,0.728,48.44
5,SIFT,18530,40,14,0.1163,0.898,0.7705,0.6843,1.4782,40,1.0,0.7778,0.7945,87.53
5,LoFTR + RANSAC,5979,40,14,0.9936,1.0825,0.8911,0.7734,2.4929,40,1.0,1.0,0.6195,48.44
